OGS	sub_rate	Avg_record	align_len	No_seq	recovery	meanGC
EOG786TSN	0.281588447653	263.02	554	50	high	42.817230206323
EOG789Q0S	0.303225806452	390.177777778	775	45	high	38.8143447883074
EOG78DK9J	0.262019230769	164.509433962	416	53	high	43.0277471990997
EOG78HFHT	0.233009708738	111.634615385	309	52	high	36.9204609732324
EOG78HFJ5	0.221518987342	212.020408163	474	49	high	42.170968975858
EOG78Q605	0.27539503386	259.285714286	443	21	medium	39.0465355912064
EOG78T26J	0.251978891821	425.432432432	758	37	medium	42.4209699310612
EOG78WXG6	0.240396530359	559.716981132	807	53	high	44.7992788547973
EOG78WXGH	0.310195227766	204.057692308	461	52	high	43.7338416414254
EOG78WXGK	0.313802083333	444.923076923	768	52	high	36.1290335218875
EOG793NX9	0.21528525296	698.75	929	48	high	42.9130403039166
EOG793NZ5	0.204545454545	329.464285714	660	28	medium	34.7348970549006
EOG793NZR	0.383592017738	213.266666667	451	30	medium	36.9387028166846
EOG799DD6	0.302663438257	236.6	413	50	high	45.6250884150805
EOG799DFR	0.279816513761	17.4905660377	436	53	high	40.5445057563734
EOG799DG2	0.267326732673	99.6	404	50	high	40.4089504038496
EOG79D8NV	0.289272030651	274.805555556	522	36	medium	40.8708069815778
EOG79D8NW	0.225419664269	217.301886792	417	53	high	45.3077809806773
EOG79D8P6	0.287723785166	361.1	782	50	high	37.7905723661682
EOG79M144	0.261609907121	400.755102041	646	49	high	35.7880758001993
EOG79M150	0.276353276353	413.866666667	702	45	high	41.2945765388635
EOG79PWDF	0.34	149.466666667	450	45	high	38.6617756249902
EOG79SRKN	0.370503597122	793.358490566	1112	53	high	30.8625454788269
EOG79SRKR	0.217550274223	816.4	1094	45	high	38.1102060410805
EOG79WMV9	0.262222222222	402.5	675	48	high	39.2905857997199
EOG7B0H2W	0.230664857531	481.509433962	737	53	high	43.7085547128355
EOG7B0H36	0.372681281619	201.829268293	593	41	high	40.7947051503305
EOG7B3C9Z	0.344086021505	237.765957447	465	47	high	45.9932645233172
EOG7B93TG	0.294017094017	306.42	585	50	high	36.3384976754203
EOG7BKQH7	0.245913818722	880.921052632	1346	38	medium	47.7608613282711
EOG7BPKSP	0.257328990228	361.729166667	614	48	high	39.2484032285086
EOG7BPKSR	0.293333333333	245.5	450	52	high	42.6680833747996
EOG7BSG14	0.291139240506	250.301886792	474	53	high	45.8714420328656
EOG7BWB8X	0.243362831858	163.698113208	452	53	high	38.9188448336126
EOG7BWB90	0.175182481752	206.6	411	30	medium	40.6097261760004
